Категория;Оригинал;Перевод;Пояснение;Смотри также;Комментарий
Животные и чудовища;Ace the Bat-Hound;Бэт-гончая Эйс;Имя нескольких собак, живших в семье Уэйнов.;;
Животные и чудовища;Bat-Cow;Бэт-корова;Корова, спасённая с бойни Дэмиеном Уэйном и оставшаяся жить в поместье Уэйнов.;;
Животные и чудовища;Congorilla;Конгорилла;Горилла, с которой мог обмениваться сознанием Конго Билл, пока окончательно не занял её тело.;Конго Билл;
Животные и чудовища;Crockett the Raccoon;Енот Крокетт;Домашний енот и шапка из его меха, принадлежащие Корки Бакстеру.;;
Животные и чудовища;Dollotrons;Куклотроны;Изуродованные жертвы экспериментов Профессора Пига, превращённые в подобия кукол‑роботов.;Профессор Пиг;
Животные и чудовища;Gleek;Глик;Синий эластичный примат с планеты Эксор, питомец Чудо‑близнецов Зена и Джейны.;;Произношение можно послушать в 32-м эпизоде (или первом эпизоде третьего сезона) мультсериала «Супердрузья» (1973). [Прим. D.Crane]
Животные и чудовища;Hooty;Хути;Питомец-филин Чарльза Макнайдера.;;
Животные и чудовища;Monk Hogan;Мак Хоган;Обезьяна, сопровождавшая моряка-авантюриста Лэнса О’Кейси, была неофициальным старпомом на его первом корабле.;;Monk здесь это сокращение от monkey. При адаптации стало «Мак» — как сокращение от «макаки». [Прим. D.Crane]
Животные и чудовища;Pegasus;Пегас;Крылатый конь, рождённый из отрубленной головы горгоны Медузы, служивший полубогу Персею и Чудо‑женщине.;;
Животные и чудовища;Pooch;Барбос;Военный пёс Второй мировой, талисман отряда Лузеры, награждённый медалью «Пурпурное сердце».;Лузеры;Pooch — это буквально жаргонный синоним слова «собака», так что подразумевается, что пса толком никто и не назвал, и он был сам по себе. Более подходящего варианта, чем «пёс-барбос», найти не удалось. [Прим. D.Crane]
Животные и чудовища;Rex the Wonder Dog;Чудо-пёс Рекс;Собака, получившая сверхсилы в результате эксперимента и служившая в армейском корпусе во время нескольких войн.;;
Животные и чудовища;Salty the Aquadog;Аквапёс Сэлти;Домашний пёс Артура Карри и Меры.;;
Животные и чудовища;Slasher;Забияка;Ручной сокол Тихого Рыцаря.;;
Животные и чудовища;Streak the Wonder Dog;Чудо-пёс Стрик;Отважный пёс, прошедший путь от деревенского героя до спутника Алана Скотта.;;
Животные и чудовища;Streaky the Super-Cat;Суперкот Стрики;Кот Кары Зор-Эл, получивший сверхспособности благодаря необычному криптониту.;;
Животные и чудовища;Tawny;Рыжик;Тигр, обитающий в зоопарке Филадельфии.;;
