Суть;Оригинал;Перевод;Комментарий
Песенка Соломона Гранди;Solomon Grundy,<br>Born on a Monday,<br>Christened on Tuesday,<br>Married on Wednesday,<br>Took ill on Thursday,<br>Grew worse on Friday,<br>Died on Saturday,<br>Buried on Sunday.<br>This is the end<br>Of Solomon Grundy.;Соломон Гранди<br>В понедельник родился,<br>Во вторник крестился,<br>В среду женился,<br>В четверг занемог,<br>В пятницу слёг,<br>В субботу скончался,<br>В воскресенье отпели.<br>Так жизнь и прошла,<br>Считай, за неделю.;
Авторство;Batman created by Bob Kane with Bill Finger;Бэтмен придуман Бобом Кейном при участии Билла Фингера;До 2015 в комиксах писали только «Batman created by Bob Kane» без упоминания Билла Фингера. При переводе таких произведений рекомендуется всё же осовременить титр, если он не выполнен в виде индивидуального логотипа Боба Кейна. [Прим. D.Crane]
Авторство;By special arrangement with the Jerry Siegel family;Всё согласно особой договорённости с семьёй Джерри Сигела;
Авторство;Harley Quinn created by Paul Dini & Bruce Timm;Харли Квинн придумана Полом Дини и Брюсом Тиммом;
Авторство;Superman created by Jerry Siegel and Joe Shuster;Супермен придуман Джерри Сигелом и Джо Шустером;
Авторство;Nightwing created by Marv Wolfman and George Perez;Найтвинг придуман Марвом Вольфманом и Джорджем Переcом;
Авторство;John Constantine created by Alan Moore, Steve Bissette, John Totleben, and Jamie Delano & John Ridgway;Джон Константин придуман Аланом Муром, Стивом Биссеттом, Джоном Тотлбеном, а также Джэми Делано и Джоном Риджвеем;
Авторство;Supergirl based on the charecters created by Jerry Siegel and Joe Shuster;Супергёрл основана на персонажах, придуманных Джерри Сигелом и Джо Шустером;
Авторство;The Sandman based on characters created by Neil Gaiman, Sam Kieth, and Mike Dringenberg;Песочный Человек основан на персонажах, придуманных Нилом Гейманом, Сэмом Китом и Майком Дрингенбергом;
Авторство;The Sandman Universe created by Neil Gaiman;Вселенная Песочного Человека придумана Нилом Гейманом;
Авторство;Wonder Woman created by William Moulton Marston;Чудо-Женщина придумана Уильямом Моултоном Марстоном;
Клятва Корпуса Синих Фонарей;In fearful day, in raging night,<br>With strong hearts full, our souls ignite!<br>When all seems lost in the War of Light,<br>Look to the stars, for hope burns bright!;И даже в самый худший час<br>Горит, мерцая, пламя в нас,<br>В Войне за Свет всё пропадёт,<br>Но луч надежды не умрёт!;
Клятва Племи Индиго;Tor lorek san, bor nakka mur,<br>Natromo faan tornek wot ur,<br>Ter lantern ker lo Abin Sur,<br>Taan lek lek nok — Formorrow Sur!;Тор лорек сан, бор накка мур, <br>Натромо фаан торнек вот ур, <br>Тер фонарь кер ло Абин Сур, <br>Таан лек лек нок — форморроу сур!;
Клятва Ларфлиза;What's mine is mine and mine and mine and mine and mine and mine and mine! Not yours!;Что моё — то моё! И моё, и моё, и моё, и моё, и моё, и моё! Не твоё!;
Клятва Корпуса Синестро;In Blackest day, In Brightest night,<br>Beware your fears made into light.<br>Let those who try to stop what's right<br>Burn like his power — Sinestro's might!;Светлейшей ночью, в темнейший день,<br>В свет выйдет страх, покинув тень.<br>Кто встал на путь — исчезнет прочь,<br>Сгорит, познав Синестро мощь!;
Клятва Ультрафиолетового Корпуса;By shield of day, and shield of night
<br>we feed and grow, beyond all sight
<br>your darkest self shall be our knight
<br>wield the sword of unseen light!;Отринув ночь, отринув день<br>Мы множим силы, уйдя в тень.<br>Тьма ваших душ нам даст обет,<br>Восславив наш невидимый свет!;
