Категория;Оригинал;Перевод;Проверка;Комментарий
Дизайнер;Grace Park;Грейс Парк;;
Дизайнер;Jillian Crab;Джиллиан Крэб;;
Дизайнер;Marie Krupina;Мария Крупина;;
Дизайнер;Michelle Ankley;Мишель Энкли;;
Дизайнер, Леттерер;Becca Carey;Бекка Кэри;;
Колорист;Adrienne Roy;Эдриэнн Рой;;
Колорист;Alejandro Sanchez (Alejandro Sánchez Rodriguez);Алехандро Санчес (Алехандро Санчес Родригес);;
Колорист;Alex Guimaraes;Алекс Гимараеш;https://youtu.be/8I3OIXBUF0M?si=dLcrTlcKXr-DDrII&t=38;
Колорист;Arif Prianto;Ариф Прианто;;
Колорист;Chris O'Halloran;Крис О'Хэллоран;;
Колорист;Grant Goleash;Грант Голиш;;
Колорист;Jay David Ramos;Джей Дэвид Рамос;;
Колорист;Simon Gough;Саймон Гоф;;
Колорист, Редактор;Alex Sinclair;Алекс Синклер;;
Колорист, Сценарист;Jordie Bellaire;Джорди Беллэр;https://youtu.be/ZIs63noyd4Q?si=m82O61cSOZq2iqz6&t=9;
Колорист, Художник;Miquel Muerto (Miquel Rodriguez);Микель Муэрто (Микель Родригес);;Muerto с испанского означает «мертвец», так что, скорее всего, это псевдоним. [Прим. D.Crane]
Колорист, Художник;Rye Hickman;Рай Хикман;;
Контуровщик;Adelso Corona;Аделсо Корона;https://youtu.be/KlTW4OClnis?si=VkxYH0vDW0rAMii5&t=5;
Контуровщик;Scott Williams;Скотт Уильямс;;
Контуровщик, Художник;Alex Garner;Алекс Гарнер;;
Контуровщик, Художник;Dan Panosian;Дэн Паносиан;https://youtu.be/_AdfUD9Nwzg?si=5W5dQDPUWBO96Zt6&t=15;
Контуровщик, Художник;John Totleben (John Thomas Totleben);Джон Тотлбен (Джон Томас Тотлбен);https://youtu.be/tFbmwLv9pBE?si=4RLQx1_arPBENkRg&t=14;
Контуровщик, Художник;Lewis LaRosa;Льюис Лароса;https://youtu.be/qrI-BG0SMT0?si=pKxKZabpWAtdWxA9&t=28;
Контуровщик, Художник;Mike Dringenberg (Michael Dringenberg);Майк Дрингенберг (Майкл Дрингенберг);;
Контуровщик, Художник;Mostafa Moussa;Мостафа Мусса;https://youtu.be/_tXDao46H-8?si=2XxCUMMbfqNLG2UF;
Леттерер;Aditya Bidikar;Адитья Бидикар;https://www.youtube.com/live/rfGZqdr7iDI?si=NOaOWC0kiTfXNpNv&t=10;
Леттерер;Deron Bennett;Дерон Беннетт;;
Леттерер;Tyler Smith;Тайлер Смит;;
Леттерер, Руководитель;Nick J. Napolitano;Ник Дж. Наполитано;;
Леттерер, Сценарист;Richard Starkings;Ричард Старкингс;https://youtu.be/gRCeNMVIxYs?si=dMkOsc5KsNeZ_z9T;
Редактор;Alex Antone;Алекс Энтон;https://youtube.com/shorts/PIZ5kyLQjYI?si=2LZm-kyp8RCzgRdb;
Редактор;Alex R. Carr (Alexander R. Carr);Алекс Р. Карр (Александр Р. Карр);;
Редактор;Ash Padilla (Chloe Padilla);Эш Падилья (Хлоя Падилья);;
Редактор;Brittany Holzherr;Бриттани Хольцхерр;;
Редактор;Caroline Butler;Кэролайн Батлер;;
Редактор;Chris Conroy;Крис Конрой;;
Редактор;Dacy Lim;Дэйси Лим;;
Редактор;Eric Harburn;Эрик Харбёрн;;
Редактор;Mary Gumport;Мэри Гампорт;;
Редактор;Ramiro Portnoy (Ramiro Portnov);Рамиро Портной;;
Редактор;Rebecca Taylor;Ребекка Тейлор;;
Редактор;Sierra Hahn;Сьерра Хан;https://youtu.be/MwPz7_Dx-IA?si=w-dvbCERbRU0E7nN&t=27;
Редактор, Руководитель;Bryce Carlson;Брайс Карлсон;;
Редактор, Руководитель;Marie Javins;Мари Джейвинс;https://youtu.be/m69X_LTH6ZE?si=lpANYPtCLRiukhkJ&t=231;
Редактор, Сценарист;Adam Schlagman;Адам Шлагман;;
Редактор, Сценарист;Alisa Kwitney (Alisa Sheckley);Алиса Куитни (Алиса Шекли);https://youtu.be/1dBhtoafjkU?si=ScWcK1ewZwKbJY00&t=17;
Редактор, Сценарист;Dave Wielgosz;Дэйв Вилгос;https://youtu.be/M23puD0Evto?si=4ycyP6W2_7JY4iO1;Вообще, это польская фамилия Вельгош, которая означает «большой/важный гость», но с американизированным произношением. [Прим. D.Crane]
Редактор, Сценарист;Mark Waid;Марк Уэйд;;
Редактор, Сценарист;Marv Wolfman (Marvin Arthur Wolfman);Марв Вольфман (Марвин Артур Вольфман);;
Редактор, Сценарист;Mort Weisinger (Mortimer Weisinger);Морт Вайсингер (Мортимер Вайсингер);;
Редактор, Сценарист;Neil Gaiman (Neil Richard MacKinnon Gaiman);Нил Гейман (Нил Ричард Маккиннон Гейман);;
Редактор, Сценарист;Pornsak Pichetshote;Порнсак Пичетшот;https://youtu.be/4YaWfD6_XHs?si=_A4JH1KWf531Ejhu&t=3;
Редактор, Сценарист, Художник;George Perez;Джордж Перес;;
Редактор, Сценарист, Художник;Will Eisner (William Erwin Eisner);Уилл Айснер (Уильям Эрвин Айснер);;
